"month","year","deaths","population","sex","age"
7,2020,489,180000,"Female","65+"
7,2020,182,5e+05,"Male","0-64"
7,2020,476,150000,"Male","65+"
8,2020,171,520000,"Female","0-64"
8,2020,472,180000,"Female","65+"
8,2020,150,5e+05,"Male","0-64"
8,2020,473,150000,"Male","65+"
9,2020,141,520000,"Female","0-64"
9,2020,531,180000,"Female","65+"
9,2020,176,5e+05,"Male","0-64"
9,2020,493,150000,"Male","65+"
10,2020,150,520000,"Female","0-64"
10,2020,581,180000,"Female","65+"
10,2020,187,5e+05,"Male","0-64"
10,2020,589,150000,"Male","65+"
11,2020,180,520000,"Female","0-64"
11,2020,696,180000,"Female","65+"
11,2020,235,5e+05,"Male","0-64"
11,2020,713,150000,"Male","65+"
12,2020,200,520000,"Female","0-64"
12,2020,771,180000,"Female","65+"
12,2020,201,5e+05,"Male","0-64"
12,2020,801,150000,"Male","65+"
1,2021,201,520000,"Female","0-64"
1,2021,765,180000,"Female","65+"
1,2021,209,5e+05,"Male","0-64"
1,2021,721,150000,"Male","65+"
2,2021,184,520000,"Female","0-64"
2,2021,740,180000,"Female","65+"
2,2021,235,5e+05,"Male","0-64"
2,2021,766,150000,"Male","65+"
3,2021,189,520000,"Female","0-64"
3,2021,605,180000,"Female","65+"
3,2021,223,5e+05,"Male","0-64"
3,2021,614,150000,"Male","65+"
4,2021,166,520000,"Female","0-64"
4,2021,535,180000,"Female","65+"
4,2021,188,5e+05,"Male","0-64"
4,2021,565,150000,"Male","65+"
5,2021,150,520000,"Female","0-64"
5,2021,477,180000,"Female","65+"
5,2021,156,5e+05,"Male","0-64"
5,2021,509,150000,"Male","65+"
6,2021,132,520000,"Female","0-64"
6,2021,411,180000,"Female","65+"
6,2021,149,5e+05,"Male","0-64"
6,2021,464,150000,"Male","65+"
7,2021,129,520000,"Female","0-64"
7,2021,422,180000,"Female","65+"
7,2021,140,5e+05,"Male","0-64"
7,2021,429,150000,"Male","65+"
8,2021,167,520000,"Female","0-64"
8,2021,525,180000,"Female","65+"
8,2021,205,5e+05,"Male","0-64"
8,2021,537,150000,"Male","65+"
9,2021,169,520000,"Female","0-64"
9,2021,591,180000,"Female","65+"
9,2021,227,5e+05,"Male","0-64"
9,2021,552,150000,"Male","65+"
10,2021,160,520000,"Female","0-64"
10,2021,586,180000,"Female","65+"
10,2021,186,5e+05,"Male","0-64"
10,2021,565,150000,"Male","65+"
11,2021,172,520000,"Female","0-64"
11,2021,579,180000,"Female","65+"
11,2021,203,5e+05,"Male","0-64"
11,2021,561,150000,"Male","65+"
12,2021,187,520000,"Female","0-64"
12,2021,631,180000,"Female","65+"
12,2021,197,5e+05,"Male","0-64"
12,2021,630,150000,"Male","65+"
1,2022,185,520000,"Female","0-64"
1,2022,704,180000,"Female","65+"
1,2022,194,5e+05,"Male","0-64"
1,2022,696,150000,"Male","65+"
2,2022,193,520000,"Female","0-64"
2,2022,679,180000,"Female","65+"
2,2022,228,5e+05,"Male","0-64"
2,2022,726,150000,"Male","65+"
3,2022,162,520000,"Female","0-64"
3,2022,582,180000,"Female","65+"
3,2022,175,5e+05,"Male","0-64"
3,2022,576,150000,"Male","65+"
4,2022,154,520000,"Female","0-64"
4,2022,478,180000,"Female","65+"
4,2022,166,5e+05,"Male","0-64"
4,2022,543,150000,"Male","65+"
5,2022,139,520000,"Female","0-64"
5,2022,433,180000,"Female","65+"
5,2022,145,5e+05,"Male","0-64"
5,2022,466,150000,"Male","65+"
6,2022,120,520000,"Female","0-64"
6,2022,447,180000,"Female","65+"
6,2022,155,5e+05,"Male","0-64"
6,2022,421,150000,"Male","65+"
7,2022,122,520000,"Female","0-64"
7,2022,415,180000,"Female","65+"
7,2022,151,5e+05,"Male","0-64"
7,2022,391,150000,"Male","65+"
8,2022,140,520000,"Female","0-64"
8,2022,431,180000,"Female","65+"
8,2022,167,5e+05,"Male","0-64"
8,2022,408,150000,"Male","65+"
9,2022,118,520000,"Female","0-64"
9,2022,484,180000,"Female","65+"
9,2022,182,5e+05,"Male","0-64"
9,2022,417,150000,"Male","65+"
10,2022,157,520000,"Female","0-64"
10,2022,487,180000,"Female","65+"
10,2022,167,5e+05,"Male","0-64"
10,2022,526,150000,"Male","65+"
11,2022,156,520000,"Female","0-64"
11,2022,551,180000,"Female","65+"
11,2022,164,5e+05,"Male","0-64"
11,2022,577,150000,"Male","65+"
12,2022,155,520000,"Female","0-64"
12,2022,583,180000,"Female","65+"
12,2022,190,5e+05,"Male","0-64"
12,2022,588,150000,"Male","65+"
1,2023,142,520000,"Female","0-64"
1,2023,524,180000,"Female","65+"
1,2023,165,5e+05,"Male","0-64"
1,2023,561,150000,"Male","65+"
2,2023,140,520000,"Female","0-64"
2,2023,537,180000,"Female","65+"
2,2023,186,5e+05,"Male","0-64"
2,2023,512,150000,"Male","65+"
3,2023,149,520000,"Female","0-64"
3,2023,486,180000,"Female","65+"
3,2023,138,5e+05,"Male","0-64"
3,2023,507,150000,"Male","65+"
4,2023,149,520000,"Female","0-64"
4,2023,459,180000,"Female","65+"
4,2023,137,5e+05,"Male","0-64"
4,2023,447,150000,"Male","65+"
5,2023,150,520000,"Female","0-64"
5,2023,431,180000,"Female","65+"
5,2023,157,5e+05,"Male","0-64"
5,2023,417,150000,"Male","65+"
6,2023,137,520000,"Female","0-64"
6,2023,378,180000,"Female","65+"
6,2023,150,5e+05,"Male","0-64"
6,2023,396,150000,"Male","65+"
7,2023,130,520000,"Female","0-64"
7,2023,403,180000,"Female","65+"
7,2023,125,5e+05,"Male","0-64"
7,2023,387,150000,"Male","65+"
8,2023,111,520000,"Female","0-64"
8,2023,410,180000,"Female","65+"
8,2023,127,5e+05,"Male","0-64"
8,2023,382,150000,"Male","65+"
9,2023,123,520000,"Female","0-64"
9,2023,414,180000,"Female","65+"
9,2023,139,5e+05,"Male","0-64"
9,2023,421,150000,"Male","65+"
10,2023,114,520000,"Female","0-64"
10,2023,434,180000,"Female","65+"
10,2023,141,5e+05,"Male","0-64"
10,2023,430,150000,"Male","65+"
11,2023,143,520000,"Female","0-64"
11,2023,496,180000,"Female","65+"
11,2023,168,5e+05,"Male","0-64"
11,2023,520,150000,"Male","65+"
12,2023,138,520000,"Female","0-64"
12,2023,534,180000,"Female","65+"
12,2023,169,5e+05,"Male","0-64"
12,2023,531,150000,"Male","65+"
1,2024,139,520000,"Female","0-64"
1,2024,544,180000,"Female","65+"
1,2024,158,5e+05,"Male","0-64"
1,2024,501,150000,"Male","65+"
2,2024,147,520000,"Female","0-64"
2,2024,576,180000,"Female","65+"
2,2024,156,5e+05,"Male","0-64"
2,2024,567,150000,"Male","65+"
3,2024,139,520000,"Female","0-64"
3,2024,519,180000,"Female","65+"
3,2024,141,5e+05,"Male","0-64"
3,2024,565,150000,"Male","65+"
4,2024,140,520000,"Female","0-64"
4,2024,455,180000,"Female","65+"
4,2024,158,5e+05,"Male","0-64"
4,2024,447,150000,"Male","65+"
5,2024,127,520000,"Female","0-64"
5,2024,383,180000,"Female","65+"
5,2024,142,5e+05,"Male","0-64"
5,2024,410,150000,"Male","65+"
6,2024,120,520000,"Female","0-64"
6,2024,393,180000,"Female","65+"
6,2024,143,5e+05,"Male","0-64"
6,2024,373,150000,"Male","65+"
7,2024,134,520000,"Female","0-64"
7,2024,372,180000,"Female","65+"
7,2024,140,5e+05,"Male","0-64"
7,2024,376,150000,"Male","65+"
8,2024,114,520000,"Female","0-64"
8,2024,386,180000,"Female","65+"
8,2024,136,5e+05,"Male","0-64"
8,2024,330,150000,"Male","65+"
9,2024,122,520000,"Female","0-64"
9,2024,398,180000,"Female","65+"
9,2024,156,5e+05,"Male","0-64"
9,2024,390,150000,"Male","65+"
10,2024,132,520000,"Female","0-64"
10,2024,460,180000,"Female","65+"
10,2024,163,5e+05,"Male","0-64"
10,2024,474,150000,"Male","65+"
11,2024,139,520000,"Female","0-64"
11,2024,506,180000,"Female","65+"
11,2024,183,5e+05,"Male","0-64"
11,2024,517,150000,"Male","65+"
12,2024,151,520000,"Female","0-64"
12,2024,576,180000,"Female","65+"
12,2024,169,5e+05,"Male","0-64"
12,2024,561,150000,"Male","65+"
1,2025,145,520000,"Female","0-64"
1,2025,507,180000,"Female","65+"
1,2025,176,5e+05,"Male","0-64"
1,2025,549,150000,"Male","65+"
2,2025,150,520000,"Female","0-64"
2,2025,512,180000,"Female","65+"
2,2025,176,5e+05,"Male","0-64"
2,2025,541,150000,"Male","65+"
3,2025,109,520000,"Female","0-64"
3,2025,498,180000,"Female","65+"
3,2025,143,5e+05,"Male","0-64"
3,2025,481,150000,"Male","65+"
4,2025,138,520000,"Female","0-64"
4,2025,472,180000,"Female","65+"
4,2025,156,5e+05,"Male","0-64"
4,2025,459,150000,"Male","65+"
5,2025,110,520000,"Female","0-64"
5,2025,380,180000,"Female","65+"
5,2025,126,5e+05,"Male","0-64"
5,2025,402,150000,"Male","65+"
6,2025,97,520000,"Female","0-64"
6,2025,415,180000,"Female","65+"
6,2025,167,5e+05,"Male","0-64"
6,2025,411,150000,"Male","65+"
